OBJECTID,NA_ID,ACRES,NA_NAME,OWNER,R_RATING,C_RATING,TOP_RATING,DATA_DATE
53,1339,2229.59,Merchants Millpond State Park,"NCDPR, PRV",R2 (Very High),C2 (Very High),Very High,2021/01/22
54,984,182.57,Big Pond Bay,"NCPCP, PRV",R2 (Very High),C4 (Moderate),Very High,2021/01/22
55,1542,1032.03,Sandy Branch Sand Ridge and Bay Complex,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
56,187,417.01,Clarks Grove Longleaf Pine Forest,USFS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
57,544,303.49,Southwest Prong Flatwoods,USFS,R2 (Very High),C2 (Very High),Very High,2021/01/22
58,691,227,Cypress Creek Bay,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
59,1776,12.32,Riverdale Goldenrod Roadsides,"NCDOT, USFS",R5 (General),C5 (General),General,2021/01/22
60,1981,116.38,Hancock Creek Forest,"PRV, USFS",R5 (General),C4 (Moderate),Moderate,2021/01/22
61,961,47.44,Mill Creek Outcrops,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
62,3267,100.35,East Dismal Swamp Hundred Acre Wood,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
63,1092,3929.32,Shaken Creek--Shelter Swamp Creek Savanna,"PRV, TNC",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
64,1793,157.49,Camp Mackall Auxiliary Airfield Buffer,USDOD,R2 (Very High),C3 (High),Very High,2021/01/22
65,1085,451.4,West Philadelphia Longleaf Pine Stands,PRV,R5 (General),C5 (General),General,2021/01/22
66,642,42.78,Jackson Park Wetlands,LOCAL,R2 (Very High),C5 (General),Very High,2021/01/22
67,660,43.67,Black Creek Sandhill and Bluff,PRV,R5 (General),C5 (General),General,2021/01/22
68,1872,696.31,Camp Lejeune Loosestrife Pocosin,USDOD,R2 (Very High),C2 (Very High),Very High,2021/01/22
69,44,157.08,Camp Lejeune Verona Loop Flatwoods,USDOD,R5 (General),C4 (Moderate),Moderate,2021/01/22
70,291,134,Camp Lejeune Corn Landing,USDOD,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
71,1334,927.91,Camp Lejeune New River Inlet,USDOD,R2 (Very High),C2 (Very High),Very High,2021/01/22
72,1718,677.47,Camp Lejeune Pocosin Road Flatwoods,USDOD,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
73,497,622.03,Camp Lejeune Spring Branch Limesinks,USDOD,R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
74,134,1340.12,Buck Creek Serpentinized Olivine Barrens,USFS,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
75,3252,1304.21,Jeter Mountain North,PRV,R2 (Very High),C2 (Very High),Very High,2021/01/22
76,498,430.91,Camp Lejeune Africa Pond Limesinks,USDOD,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
77,1366,277.42,Camp Lejeune Alligator Meadow Limesinks,USDOD,R3 (High),C2 (Very High),Very High,2021/01/22
78,1959,378.31,Camp Lejeune Cowhead Creek Limesinks,USDOD,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
79,270,17.46,Neely Road Swamps,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
80,1123,49.6,Whitehall Nature Preserve,"LOCAL, PRV",R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
81,1781,32.83,Ridge Road Hardpan Forest,CLC,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
82,553,34.38,Woodwards Branch Diabase Dike,PRV,R5 (General),C5 (General),General,2021/01/22
83,775,777.96,Rich Mountain/Sugar Creek,USFS,R2 (Very High),C3 (High),Very High,2021/01/22
84,805,1005.98,Brush Fence Ridge/Point Misery,USFS,R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
85,1356,34.71,Locust Barrens,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
86,1557,886.79,CHO/Meherrin River Aquatic Habitat,PW,R3 (High),C4 (Moderate),High,2021/01/22
87,369,127.26,NEU/Mill Creek Aquatic Habitat,PW,R2 (Very High),C4 (Moderate),Very High,2021/01/22
88,234,69.97,NEU/Moccasin Creek Aquatic Habitat,PW,R3 (High),C4 (Moderate),High,2021/01/22
89,1191,48.57,NEU/Turkey Creek Aquatic Habitat,PW,R5 (General),C5 (General),General,2021/01/22
90,595,10.27,McCoy Road Sunflower Site,"LOCAL, NCDOT",R5 (General),C5 (General),General,2021/01/22
91,1829,115.4,Dutchman Mountain,PRV,R5 (General),C5 (General),General,2021/01/22
92,842,1610.24,The Dismal/River Cliffs,"PRV, USFS",R2 (Very High),C2 (Very High),Very High,2021/01/22
93,755,110.28,Moore Knob,USFS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
94,1342,802.16,Brown Mountain/Hench Knob,"PRV, USFS",R2 (Very High),C3 (High),Very High,2021/01/22
95,2123,390.92,CPF/Black River Aquatic Habitat,PW,R2 (Very High),C4 (Moderate),Very High,2021/01/22
96,1870,10471.39,Cedar Island Marshes,USFWS,R2 (Very High),C3 (High),Very High,2021/01/22
97,1812,3094.09,Cedar Island Flatwoods and Bays,USFWS,R3 (High),C3 (High),High,2021/01/22
98,671,18937.79,Pocosin Wilderness,USFS,R2 (Very High),C3 (High),Very High,2021/01/22
99,1027,9718.43,Catfish Lake/Catfish Lake South Wilderness,"PRV, USFS",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
100,1966,3186.15,Great Lake/Pond Pine Wilderness Natural Area,USFS,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
101,1837,912.47,Back Landing Bay,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
102,1189,130.86,Camp Lejeune Padgett Swamp Road Natural Area,USDOD,R4 (Moderate),C3 (High),High,2021/01/22
103,1318,34.02,Stateline Prairie Bay,"PRV, TNC",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
104,1015,5.08,Horsepasture River Flats,PRV,R5 (General),C5 (General),General,2021/01/22
105,262,32.94,Grassy Camp Creek Flats,PRV,R5 (General),C5 (General),General,2021/01/22
106,228,225.56,Keener Mountain,"PRV, USFS",R5 (General),C5 (General),General,2021/01/22
107,1352,78.25,Skitty Branch Cove,USFS,R2 (Very High),C5 (General),Very High,2021/01/22
108,1018,11.71,Mount Hardy High Elevation Seepage Forest,USFS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
109,1777,45.16,Seniard Creek Wetlands,"PRV, USFS",R5 (General),C5 (General),General,2021/01/22
110,1343,74.41,Fanning Bridge Swamp,"LOCAL, NCSU, PRV",R3 (High),C5 (General),High,2021/01/22
111,795,401.43,Camp Lejeune Hog Pen Road Flatwoods and Pocosin,USDOD,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
112,112,4.74,Camp Lejeune Freeman Creek Meadow,USDOD,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
113,269,2323.06,Roanoke Island Juncus Marsh,"NCWRC, PRV",R3 (High),C3 (High),High,2021/01/22
114,113,187.64,Camp Lejeune Frenchs Creek Limesinks,USDOD,R2 (Very High),C2 (Very High),Very High,2021/01/22
115,286,6.27,Camp Lejeune Pondspice Meadow,USDOD,R3 (High),C3 (High),High,2021/01/22
116,1080,6022.82,Bull Neck Swamp,NCSU,R2 (Very High),C3 (High),Very High,2021/01/22
117,831,22.63,Pine Swamp Creek Wetland,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
118,1771,19.79,Hester Diabase Area,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
119,508,15.82,Bingham Road Hardpan Forest,"LOCAL, PRV",R5 (General),C4 (Moderate),Moderate,2021/01/22
120,328,13.46,Camp Creek Bluff,PRV,R5 (General),C5 (General),General,2021/01/22
121,1495,49.09,Donnaha Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
122,1942,380.53,Cooper Gap/Wildcat Spur,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
123,1288,3.06,Orton Powerline Loosestrife Site,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
124,1630,22.5,Bent Creek Heartleaf Natural Area,USFS,R2 (Very High),C5 (General),Very High,2021/01/22
125,359,20.31,Jonas Ridge Wetland,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
126,208,24.83,Cranberry Knob Wetlands,"PRV, USFS",R3 (High),C4 (Moderate),High,2021/01/22
127,1287,46.52,Lagrange Diabase Bog,TLC,R5 (General),C5 (General),General,2021/01/22
128,207,65.96,Colkins Neck Remnant,PRV,R1 (Exceptional),C5 (General),Exceptional,2021/01/22
129,621,322.75,Hurricane Ridge,USFS,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
130,1504,20.16,Canton Watershed/The Glades,LOCAL,R2 (Very High),C4 (Moderate),Very High,2021/01/22
131,1307,114.72,Raven Cliff,PRV,R3 (High),C4 (Moderate),High,2021/01/22
132,1969,28.33,Crabtree Bald,PRV,R5 (General),C5 (General),General,2021/01/22
133,167,1125.63,Dark Ridge/Laurel Patch Cove,"LOCAL, PRV, USNPS",R3 (High),C3 (High),High,2021/01/22
134,3257,82.91,CPF/Deep River below Ramseur Aquatic Habitat,PW,R3 (High),C4 (Moderate),High,2021/01/22
135,3264,63.19,Rocky Mountain,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
136,316,993.65,Pinnacle Ridge,"PRV, USNPS",R3 (High),C4 (Moderate),High,2021/01/22
137,256,47.68,Idlewild Wetlands,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
138,1811,53.44,Glendale Springs,"PRV, USNPS",R3 (High),C4 (Moderate),High,2021/01/22
139,1406,3.25,Squirrel Creek Meadow,PRV,R5 (General),C5 (General),General,2021/01/22
140,275,4.36,Anthony Creek Wetlands,PRV,R5 (General),C5 (General),General,2021/01/22
141,1895,113.13,Raven Rock,PRV,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
142,1093,52.14,Newfound Mountain/Rockyface Mountain,PRV,R3 (High),C4 (Moderate),High,2021/01/22
143,821,40.13,Machine Branch Mafic Area,USFS,R3 (High),C4 (Moderate),High,2021/01/22
144,1923,31413.69,Great Dismal Swamp National Wildlife Refuge and Vicinity,"PRV, USFWS",R3 (High),C3 (High),High,2021/01/22
145,822,7597.81,Camp Lejeune Great Sandy Run Pocosin,"PRV, USDOD",R3 (High),C3 (High),High,2021/01/22
146,1507,137.01,Pleasantville Basic Forest,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
147,1863,29.5,Richardson Creek Slopes,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
148,1570,86.27,Camp Branch Savanna Remnant,"NCWRC, PRV",R2 (Very High),C2 (Very High),Very High,2021/01/22
149,1864,47.36,Long Creek Slate Slopes,PRV,R3 (High),C4 (Moderate),High,2021/01/22
150,1660,25.04,Glady Fork Forest,PRV,R5 (General),C5 (General),General,2021/01/22
151,116,32.1,New Hope Springhead Swamp,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
152,1877,231.69,Godwin Cape Fear River Bluffs,"NCDNCR, PRV",R3 (High),C4 (Moderate),High,2021/01/22
153,1912,54.79,Mills Bridge Natural Area,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
154,1153,70.48,Flat Swamp Gabbro Forest,PRV,R5 (General),C5 (General),General,2021/01/22
155,1908,335.93,Jerusalem Road Basic Ridge,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
156,1655,61.76,Leonard Road Slopes,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
157,281,3081.36,Cliffield Mountain/Upper Hungry River,"NCWRC, PRV",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
158,1788,20.53,Sandy Springs Church Springhead Swamp,PRV,R3 (High),C4 (Moderate),High,2021/01/22
159,1953,81.09,Great Bend of the Neuse Natural Area,USACE,R5 (General),C5 (General),General,2021/01/22
160,1669,143.98,Round Mountain,"PAC, PRV",R2 (Very High),C3 (High),Very High,2021/01/22
161,596,261.54,Marston Pond and Uplands,NCWRC,R2 (Very High),C3 (High),Very High,2021/01/22
162,1386,26.85,Barber Oak-Hickory Forest,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
163,1853,126.41,Pea Swales,NCWRC,R2 (Very High),C4 (Moderate),Very High,2021/01/22
164,843,442.59,Gardner Farm Lane Woodland,NCWRC,R2 (Very High),C2 (Very High),Very High,2021/01/22
165,3,414.21,East Prong Juniper Creek Pocosin and Savanna,NCWRC,R3 (High),C2 (Very High),Very High,2021/01/22
166,323,23.75,Aarons Corner Rare Plant Site,PRV,R3 (High),C4 (Moderate),High,2021/01/22
167,1164,113.25,Bonds Branch Rare Plant Site,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
168,1850,43.36,Bradley Creek Wetlands,USFS,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
169,336,22.96,Reasonover Wetlands,PRV,R4 (Moderate),C3 (High),High,2021/01/22
170,40,3.67,South Toe Wetlands,PRV,R5 (General),C5 (General),General,2021/01/22
171,1083,222.42,Sevenmile Ridge Wetlands,USFS,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
172,162,155.69,Back Creek Mafic Knoll,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
173,1122,255.96,Carters Creek Forest,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
174,1331,191.9,Yadkin River/Fries Creek Bluffs,PRV,R3 (High),C4 (Moderate),High,2021/01/22
175,1625,143.74,Yadkin Islands Forest,"NCDPR, PRV",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
176,117,48.39,Camp Lejeune South Bay Road Natural Area,USDOD,R2 (Very High),C3 (High),Very High,2021/01/22
177,352,80.36,Laurel Branch Ravines and Slopes,"NCWRC, PRV",R4 (Moderate),C5 (General),Moderate,2021/01/22
178,1136,34.13,Walnut Flats,NCWRC,R3 (High),C5 (General),High,2021/01/22
179,1745,411.87,Lost Colony Coves/Raven Cliffs,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
180,1372,395.82,Knollwood Sandhills,"LOCAL, PRV, SCC",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
181,1371,73.81,Bead and Lace Falls,PRV,R5 (General),C5 (General),General,2021/01/22
182,2096,37.15,Beaverdam Branch Mafic Slopes and Flats,PRV,R5 (General),C5 (General),General,2021/01/22
183,2095,326.13,Hunting Creek Natural Areas,PRV,R5 (General),C5 (General),General,2021/01/22
184,1759,170.7,Conine Terrace Forest,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
185,1591,200.86,Second Creek Wetlands,PRV,R3 (High),C4 (Moderate),High,2021/01/22
186,624,104.48,Carbonton Diabase Sill,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
187,1519,73.48,Laurel Branch Rich Woods,"NCWRC, PRV",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
188,1808,123,Stony Bald,"USFS, USNPS",R3 (High),C5 (General),High,2021/01/22
189,1075,372.29,Raft Swamp/Shannon,PRV,R5 (General),C5 (General),General,2021/01/22
190,1161,304.96,The Fodderstacks,"HCLT, PRV, USFS",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
191,1577,58.98,Kidd Road Upland Swamp,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
192,873,1093.87,McDowell Nature Preserve,LOCAL,R2 (Very High),C3 (High),Very High,2021/01/22
193,905,153.62,Pine Hill Church Forest,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
194,1381,95.45,Persimmon Nursery Flats,PRV,R3 (High),C5 (General),High,2021/01/22
195,1206,69.69,Lessler Montmorillonite Forest,PRV,R3 (High),C4 (Moderate),High,2021/01/22
196,829,41.51,Tuckertown Bluffs,PRV,R3 (High),C5 (General),High,2021/01/22
197,1492,1233.45,Cherry Point Tucker Creek Natural Area,USDOD,R3 (High),C4 (Moderate),High,2021/01/22
198,295,15.82,Haw River Skunk Cabbage Patch,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
199,1109,0.72,Brackettown Valley Meadow,PRV,R3 (High),C4 (Moderate),High,2021/01/22
200,1571,18.21,Ford Cockerham Meadow,PRV,R3 (High),C5 (General),High,2021/01/22
201,576,1340.81,Pinnacle Mountain/Mill Creek,"LOCAL, PRV, USNPS",R2 (Very High),C2 (Very High),Very High,2021/01/22
202,1638,517.47,Cove Swamp,"NCDNCR, PRV",R3 (High),C4 (Moderate),High,2021/01/22
203,1370,210.07,Bank Mountain,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
204,58,51.96,Kross Keys Natural Area,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
205,59,31.53,Tillery Longleaf Pine Forest,NCWRC,R2 (Very High),C5 (General),Very High,2021/01/22
206,1769,16.45,Indian Creek Diabase Slope,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
207,1883,136,Laurel Branch Creek Gorge/Buckeye Ford,NCWRC,R3 (High),C5 (General),High,2021/01/22
208,337,3.49,Tuckasegee River Islands,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
209,1036,71.17,Deep Bottom Branch Bluffs,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
210,1585,69.06,Yadkin River Scour Banks,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
211,823,152.52,Tucker Lane Woodland,NCWRC,R3 (High),C3 (High),High,2021/01/22
212,1547,377.03,George Drop Zone Natural Area,NCWRC,R2 (Very High),C3 (High),Very High,2021/01/22
213,1654,263.15,Block C Upland Depressions and Flatwoods,NCWRC,R3 (High),C2 (Very High),Very High,2021/01/22
214,1653,14.1,Fed Cove Ridge,USNPS,R5 (General),C5 (General),General,2021/01/22
215,245,3.47,Mud Creek Oxbow,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
216,909,95.09,Little Alamance Creek Forest,PRV,R5 (General),C5 (General),General,2021/01/22
217,1614,21.32,Newsom Bluffs and Slopes,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
218,1174,232.21,Middle Creek Falls,USFS,R5 (General),C4 (Moderate),Moderate,2021/01/22
219,1299,638.52,Carolina Beach State Park,"NCDPR, PRV, USDOD",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
220,1175,181.08,Big Rock Spring,USFS,R5 (General),C5 (General),General,2021/01/22
221,19,132.27,Buckeye Creek Cove,USFS,R5 (General),C5 (General),General,2021/01/22
222,372,342.67,Mount Sterling Creek Forests,USFS,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
223,836,7160.79,Friar Swamp,"NCWRC, PRV",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
224,351,83.3,Hog Island Rare Plant Site,"NCDOT, PRV",R5 (General),C5 (General),General,2021/01/22
225,1135,55.64,Ferrydell,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
226,809,525.26,Paddy Mountain,"NCPCP, PRV",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
227,799,617.97,Old Bald/Cherry Cove,"LOCAL, USNPS",R3 (High),C3 (High),High,2021/01/22
228,1934,44.23,Cape Fear River Bluff,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
229,800,334.92,Cloven Cliffs/The Pinnacles,"NCDPR, PRV,",R2 (Very High),C3 (High),Very High,2021/01/22
230,3202,329.83,Lower Bear Creek Slopes,PRV,R4 (Moderate),C3 (High),High,2021/01/22
231,3234,1048.73,Campbell Lick,PRV,R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
232,260,136.22,Meares Millpond,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
233,1565,122.3,Gilliland Creek Forests,USFS,R5 (General),C5 (General),General,2021/01/22
234,338,377.76,Bald Rock Mountain/Little Bald Rock Mountain,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
235,1679,68.14,High Falls of the Tuckasegee River (Onion Cliff),PRV,R5 (General),C5 (General),General,2021/01/22
236,1698,105.86,Kirby Knob Hornblende Slope,"PRV, USFS",R3 (High),C4 (Moderate),High,2021/01/22
237,932,11.75,Licklog Falls,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
238,1697,36.15,Paradise Falls,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
239,927,1110.84,Robinson Creek Gorge,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
240,1815,193.56,Willits Hornblende Slope Natural Area,PRV,R3 (High),C4 (Moderate),High,2021/01/22
241,156,24.32,Dark Ridge Olivine Outcrop,PRV,R3 (High),C5 (General),High,2021/01/22
242,916,337.16,Burntshirt Mountain,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
243,846,17.41,Hoy Savanna Remnant,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
244,2082,123.46,Carvers Falls,PRV,R3 (High),C4 (Moderate),High,2021/01/22
245,841,49.87,Crusoe Island Savanna,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
246,1079,106.68,Cold Spring Flats,USFS,R5 (General),C4 (Moderate),Moderate,2021/01/22
247,1383,175.72,Nix Mountain,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
248,1814,8.18,Tuckasegee River Hornblende Ravine,PRV,R5 (General),C5 (General),General,2021/01/22
249,155,43.34,Snaggy Bald,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
250,1524,124.85,Catsburg Natural Area,"NCPCP, PRV, USACE",R2 (Very High),C3 (High),Very High,2021/01/22
251,677,19.41,Highway 130/Waccamaw River Rare Plant Site,"NCDOT, PRV",R2 (Very High),C4 (Moderate),Very High,2021/01/22
252,518,21.81,Highway 905/Seven Creeks Rare Species Site,"NCDOT, PRV",R2 (Very High),C4 (Moderate),Very High,2021/01/22
253,1592,134.78,Regan Ridge and Swale,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
254,1009,10.57,Big Neck Road at Millpond Bay,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
