"GEO_ID","id"
"S1502_C01_010M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
"S1502_C01_011E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C01_011M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C01_012E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C01_012M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C01_013E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C01_013M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C01_014E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C01_014M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C01_015E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C01_015M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C01_016E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C01_016M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C01_017E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C01_017M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C01_018E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C01_018M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C01_019E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C01_019M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C01_020E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C01_020M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C01_021E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C01_021M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C01_022E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C01_022M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C01_023E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C01_023M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C01_024E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"S1502_C01_024M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"S1502_C02_001E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C02_001M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C02_002E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C02_002M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C02_003E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C02_003M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C02_004E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C02_004M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C02_005E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C02_005M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C02_006E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C02_006M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C02_007E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C02_007M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C02_008E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
"S1502_C02_008M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
"S1502_C02_009E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C02_009M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C02_010E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
"S1502_C02_010M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
"S1502_C02_011E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C02_011M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C02_012E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C02_012M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C02_013E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C02_013M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C02_014E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C02_014M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C02_015E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C02_015M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C02_016E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C02_016M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C02_017E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C02_017M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C02_018E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C02_018M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C02_019E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C02_019M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C02_020E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C02_020M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C02_021E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C02_021M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C02_022E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C02_022M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C02_023E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C02_023M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C02_024E","Estimate!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"S1502_C02_024M","Margin of Error!!Percent!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"S1502_C03_001E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C03_001M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C03_002E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C03_002M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C03_003E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C03_003M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C03_004E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C03_004M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C03_005E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C03_005M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C03_006E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C03_006M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C03_007E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C03_007M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C03_008E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
"S1502_C03_008M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
"S1502_C03_009E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C03_009M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C03_010E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
"S1502_C03_010M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
"S1502_C03_011E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C03_011M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C03_012E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C03_012M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C03_013E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C03_013M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C03_014E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C03_014M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C03_015E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C03_015M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C03_016E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C03_016M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C03_017E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C03_017M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C03_018E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C03_018M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C03_019E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C03_019M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C03_020E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C03_020M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C03_021E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C03_021M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C03_022E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C03_022M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C03_023E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C03_023M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C03_024E","Estimate!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"S1502_C03_024M","Margin of Error!!Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"S1502_C04_001E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C04_001M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C04_002E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C04_002M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C04_003E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C04_003M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C04_004E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C04_004M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C04_005E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C04_005M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C04_006E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C04_006M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C04_007E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C04_007M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C04_008E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
"S1502_C04_008M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
"S1502_C04_009E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C04_009M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C04_010E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
"S1502_C04_010M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
"S1502_C04_011E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C04_011M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education"
"S1502_C04_012E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C04_012M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others"
"S1502_C04_013E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C04_013M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years"
"S1502_C04_014E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C04_014M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering"
"S1502_C04_015E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C04_015M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields"
"S1502_C04_016E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C04_016M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business"
"S1502_C04_017E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C04_017M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education"
"S1502_C04_018E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C04_018M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others"
"S1502_C04_019E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C04_019M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over"
"S1502_C04_020E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C04_020M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering"
"S1502_C04_021E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C04_021M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields"
"S1502_C04_022E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C04_022M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business"
"S1502_C04_023E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C04_023M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education"
"S1502_C04_024E","Estimate!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"S1502_C04_024M","Margin of Error!!Percent Male!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"S1502_C05_001E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C05_001M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C05_002E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C05_002M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C05_003E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C05_003M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C05_004E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C05_004M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C05_005E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C05_005M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C05_006E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C05_006M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C05_007E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C05_007M","Margin of Error!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C05_008E","Estimate!!Female!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
